"ID","Description","assay","p.adjust","Count","GeneRatio"
"GO:0030198","extracellular matrix organization","ATAC-seq (Opening)",0.0332644480189401,11,"11/193"
"GO:0030198","extracellular matrix organization","RNA-seq DEGs",0.014894051962381,13,"13/258"
"GO:0043410","positive regulation of MAPK cascade","ATAC-seq (Opening)",0.0235860336091401,15,"15/193"
"GO:0043410","positive regulation of MAPK cascade","RNA-seq DEGs",0.0269266479811227,16,"16/258"
"GO:0031346","positive regulation of cell projection organization","ATAC-seq (Opening)",0.0194806023944514,13,"13/193"
"GO:0031346","positive regulation of cell projection organization","RNA-seq DEGs",0.0252697022338223,13,"13/258"
"GO:0071559","response to transforming growth factor beta","ATAC-seq (Opening)",0.0352575530580055,10,"10/193"
"GO:0071559","response to transforming growth factor beta","RNA-seq DEGs",0.0291353725826151,11,"11/258"
