"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035567","non-canonical Wnt signaling pathway","7/258","72/18903",5.62661033498709e-05,0.00477558552182029,0.00378463579374395,"VANGL2/WNT5A/CELSR1/ROR2/PRICKLE1/FZD3/SFRP4",7
"GO:0007164","establishment of tissue polarity","7/258","74/18903",6.71631477883193e-05,0.00530276480793823,0.00420242364129606,"VANGL2/WNT5A/CELSR1/ROR2/INTU/PRICKLE1/FZD3",7
"GO:2000027","regulation of animal organ morphogenesis","9/258","129/18903",7.05049471758024e-05,0.00544009762867839,0.00431125944931462,"VANGL2/WNT5A/CELSR1/VEGFA/ROR2/PRICKLE1/APCDD1/FZD3/SMO",9
"GO:0032103","positive regulation of response to external stimulus","18/258","464/18903",7.35755224750098e-05,0.00555086441783685,0.00439904176482164,"RAC2/TRIM6/WNT5A/IL6/STING1/IL16/MDK/CEBPA/GPR4/VEGFA/IL6R/MMP12/NFKBIZ/MSTN/RASGRP1/TNFRSF11A/CMKLR1/ITGA2",18
"GO:0002790","peptide secretion","12/258","230/18903",7.99206728803608e-05,0.00589849313975706,0.00467453638174376,"FOXO1/IL6/SNAP25/EPHA5/ADCY5/TFR2/TRH/CCN3/ICA1/CPE/RIMS2/ANO1",12
"GO:0021915","neural tube development","10/258","164/18903",8.77669700051582e-05,0.00620768464932317,0.00491956963449966,"VANGL2/WNT5A/CELSR1/INTU/PRICKLE1/SALL4/HES1/FZD3/SMO/SOX11",10
"GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","16/258","390/18903",9.74427280153465e-05,0.00641731581939227,0.00508570164618763,"WNT5A/LPXN/ZNF423/SINHCAF/LRRC32/LEF1/VEPH1/CILP/HES1/MSTN/SOX11/CCN3/SFRP4/GDF6/AFP/GDF10",16
"GO:0019693","ribose phosphate metabolic process","18/258","475/18903",9.89309996917316e-05,0.00641731581939227,0.00508570164618763,"GUCY1A2/PRXL2C/PDE10A/H19/SLC4A4/NUDT10/ADCY2/MPP1/ACOT11/ADCY1/RORA/ACSL5/ELOVL6/PRPS1/GUCY1A1/ADCY5/ELOVL2/CDA",18
"GO:0007411","axon guidance","12/258","236/18903",0.000102072180927005,0.00641731581939227,0.00508570164618763,"RAC2/EGR2/KALRN/WNT5A/SEMA3F/VEGFA/EPHA5/LAMA1/FZD3/SMO/RET/CNTN6",12
"GO:0060340","positive regulation of type I interferon-mediated signaling pathway","4/258","19/18903",0.000111818901942821,0.00675614769904967,0.00535422479459606,"TRIM6/WNT5A/STING1/MMP12",4
"GO:0050673","epithelial cell proliferation","18/258","481/18903",0.000115780334920191,0.00675614769904967,0.00535422479459606,"PRKX/WNT5A/IL6/RGCC/MDK/VEGFA/VASH2/INTU/HES1/MMP12/IRF6/RAP1GAP/CLDN1/SMO/SOX11/APELA/CCN3/GATA2",18
"GO:0045785","positive regulation of cell adhesion","18/258","484/18903",0.000125115785971824,0.00675614769904967,0.00535422479459606,"PODXL/WNT5A/IL6/LIF/MDK/VEGFA/CD24/LEF1/PDPN/PTPRU/PTPN22/HES1/LAMA1/NFKBIZ/RASGRP1/RET/COL26A1/ITGA2",18
"GO:0051962","positive regulation of nervous system development","13/258","279/18903",0.000127176603658797,0.00675614769904967,0.00535422479459606,"EGR2/THBS2/IL6/LIF/MDK/VEGFA/PTPRD/HES1/ISLR2/FZD3/SMO/SOX11/CLSTN2",13
"GO:0048568","embryonic organ development","17/258","449/18903",0.000155944049972539,0.00790194103965326,0.00626226224241648,"VANGL2/WNT5A/PCSK5/LIF/CEBPA/VEGFA/LEF1/CCDC40/VASH2/HES1/FZD3/SMO/SOX11/APELA/GATA2/A2M/TCF21",17
"GO:2000047","regulation of cell-cell adhesion mediated by cadherin","4/258","21/18903",0.000168992381379288,0.00843719315856887,0.00668644778336626,"WNT5A/RGCC/VEGFA/PTPRU",4
"GO:0019935","cyclic-nucleotide-mediated signaling","7/258","86/18903",0.000174564837306647,0.0085890959805227,0.00680683026934843,"GUCY1A2/PDE10A/ADCY2/ADCY1/EPHA5/PDE11A/GUCY1A1",7
"GO:0198738","cell-cell signaling by wnt","17/258","458/18903",0.000197147950169607,0.00904482825440291,0.00716799659507134,"VANGL2/WNT5A/FOXO1/MDK/CELSR1/CD24/LEF1/ROR2/ZBED3/PRICKLE1/PTPRU/SDC1/APCDD1/FZD3/SULF2/CPE/SFRP4",17
"GO:0061351","neural precursor cell proliferation","9/258","149/18903",0.000211903844007413,0.00920598237177784,0.00729571070219802,"WNT5A/FOXO1/MDK/VEGFA/RORA/LEF1/FZD3/SMO/GATA2",9
"GO:0002286","T cell activation involved in immune response","8/258","118/18903",0.000216930365167077,0.00920598237177784,0.00729571070219802,"IL6/ICAM1/MDK/FGL2/RORA/LEF1/IL6R/NFKBIZ",8
